Company,Date,mean,pos,neg,neu
BERKSHIRE HATHAWAY,2019-05-01,0.07287659574468085,11.0,5.0,31.0
BERKSHIRE HATHAWAY,2019-06-01,0.10257021276595747,14.0,5.0,28.0
BERKSHIRE HATHAWAY,2019-07-01,0.1073191489361702,15.0,4.0,28.0
BERKSHIRE HATHAWAY,2019-08-01,0.07754166666666666,13.0,5.0,30.0
BERKSHIRE HATHAWAY,2019-09-01,0.14308000000000004,18.0,3.0,29.0
BERKSHIRE HATHAWAY,2019-10-01,0.025121276595744677,6.0,5.0,36.0
BERKSHIRE HATHAWAY,2019-11-01,-0.028351063829787235,4.0,8.0,35.0
BERKSHIRE HATHAWAY,2019-12-01,0.10054347826086957,14.0,2.0,30.0
BERKSHIRE HATHAWAY,2020-01-01,0.0009727272727272703,13.0,9.0,22.0
BERKSHIRE HATHAWAY,2020-02-01,0.1589242424242424,14.0,2.0,17.0
BERKSHIRE HATHAWAY,2020-03-01,-0.006791666666666664,6.0,7.0,35.0
BERKSHIRE HATHAWAY,2020-04-01,0.05595624999999999,10.0,7.0,31.0
BERKSHIRE HATHAWAY,2020-05-01,0.04853111111111112,8.0,8.0,29.0
BERKSHIRE HATHAWAY,2020-06-01,0.01976739130434782,12.0,12.0,22.0
BERKSHIRE HATHAWAY,2020-07-01,0.07464888888888886,13.0,6.0,26.0
BERKSHIRE HATHAWAY,2020-08-01,0.07992826086956521,16.0,7.0,23.0
BERKSHIRE HATHAWAY,2020-09-01,0.11515869565217392,12.0,2.0,32.0
FACEBOOK,2017-09-01,-0.053461999999999996,13.0,16.0,21.0
FACEBOOK,2017-10-01,-0.06859375,6.0,14.0,28.0
FACEBOOK,2017-11-01,-0.05446486486486487,9.0,11.0,17.0
FACEBOOK,2017-12-01,-0.06930199999999999,12.0,17.0,21.0
FACEBOOK,2018-01-01,0.008900000000000005,12.0,11.0,27.0
FACEBOOK,2018-02-01,-0.16288958333333337,5.0,22.0,21.0
FACEBOOK,2018-03-01,-0.07347346938775509,8.0,16.0,25.0
FACEBOOK,2018-04-01,-0.07344999999999999,9.0,14.0,27.0
FACEBOOK,2018-05-01,-0.019868085106382976,9.0,10.0,28.0
FACEBOOK,2018-06-01,0.025373684210526316,14.0,8.0,35.0
FACEBOOK,2018-07-01,-0.10740416666666668,7.0,17.0,24.0
FACEBOOK,2018-08-01,-0.10318999999999999,7.0,15.0,28.0
FACEBOOK,2018-09-01,-0.04006170212765957,8.0,10.0,29.0
FACEBOOK,2018-10-01,-0.052136000000000016,13.0,13.0,24.0
FACEBOOK,2018-11-01,-0.19808200000000004,4.0,23.0,23.0
FACEBOOK,2018-12-01,-0.00893333333333333,15.0,18.0,15.0
FACEBOOK,2019-01-01,-0.05512653061224491,12.0,17.0,20.0
FACEBOOK,2019-02-01,-0.12251632653061227,5.0,16.0,28.0
FACEBOOK,2019-03-01,-0.09891020408163266,9.0,16.0,24.0
FACEBOOK,2019-04-01,-0.05680851063829787,9.0,11.0,27.0
FACEBOOK,2019-05-01,-0.1242673469387755,6.0,17.0,26.0
FACEBOOK,2019-06-01,-0.126548,10.0,18.0,22.0
FACEBOOK,2019-07-01,-0.054108,14.0,15.0,21.0
FACEBOOK,2019-08-01,-0.0907938775510204,3.0,12.0,34.0
FACEBOOK,2019-09-01,-0.015329999999999996,16.0,13.0,21.0
FACEBOOK,2019-10-01,-0.05171666666666667,8.0,12.0,28.0
FACEBOOK,2019-11-01,-0.15698800000000002,5.0,19.0,26.0
FACEBOOK,2019-12-01,-0.06756250000000001,9.0,15.0,24.0
FACEBOOK,2020-01-01,-0.11774791666666663,9.0,20.0,19.0
