index,AMZN,WMT,NVDA,TSLA,PG,NKE,AAPL,JNJ,GOOGL,MSFT,PFE,BRK-A,FB,MRK,V
W875RX1,0.00941150186932268,0.008089952338273164,0.00024420749411188436,0.0008052673438292942,0.008636883307144077,0.0075391961787369625,0.00870405033619932,0.01051971073041457,0.0006662758751379845,0.002703401481945768,0.0004865338358684318,0.004774892036401262,0.002809485236445913,0.0023303080774697785,0.0016297450536630106
ISRATIOx,0.009249788795637232,0.03518973608639563,0.0006744089486516308,0.002780579618287839,0.0008983036505482304,0.0071491602573218425,0.001953614295697218,0.0007231966687364271,0.0017977522321299482,0.00040185614090463217,0.0024045498246884666,0.003529746103023886,0.0015244670370957315,8.73355785765729e-06,0.004601961267592048
EXUSUKx,0.009085118589907458,0.005641344767188842,0.006380540246257341,0.0066357681196436875,0.015929312735237757,0.007595860949279839,0.015751412174971252,0.015622084027493977,0.009562548563510609,0.007210124884977757,0.027710901115873963,0.009562369429566151,0.0016990010437809002,0.0049141883616640415,0.01522820260097598
BUSINVx,0.008690029958751191,0.00591542107385925,0.01201604342395473,0.0018404962313344371,0.003753663666748217,0.002641408878403907,0.003642360488083515,0.021366998013180778,0.004583424497008886,0.005160726950763675,0.005042527256501521,0.004109516217846964,0.010022569947713339,0.00199113436112533,0.005518178714025332
PERMITMW,0.008688100768741816,0.0022454625396061945,0.012759390053754949,0.016906299106793348,0.019400079952970578,0.029191570564914025,0.0009808072449393344,0.01857856551152012,0.03631993551457076,0.007328794449192426,0.020025688691506848,0.004059441974350358,0.00510038826978048,0.0023345188680246234,0.010669298148190778
AAAFFM,0.00817654183193869,0.004975139052286916,0.005182092247827749,0.000602844216360153,0.006967273962767044,0.004280415783583469,0.0030987562158462214,0.011819291992552302,0.007269060995774174,0.002229664996112357,0.002324994998572398,0.0137169365260243,0.005885821609606954,0.012030737237665536,0.0012426577625507687
CES1021000001,0.007548384502583703,0.004577909070850684,0.026668751288428688,0.006960485048415773,0.0012565741637639975,0.060885718300847075,0.00143780082928461,0.0008249515569986729,0.005631881151734572,0.01305319180960952,0.007930803014170562,0.01899941282614882,0.008677181883168815,0.0009343066515427,0.008680897265785624
TB6MS,0.007518962408510695,0.0003658604996787367,0.029428702317188086,0.00029293964774973903,0.0037262999370826066,0.00116782719535116,0.005867572302619936,0.004143115518080272,0.0021364571545016645,0.004309266275163884,0.0020731403940191535,0.0034463204282759808,0.004836942442005186,0.001334471582333472,0.00020345813104023048
GS5,0.007503439801581992,0.0009952594548810045,0.005892097794482771,0.002594255009283107,0.0011339494712489238,0.008874567391902639,0.0006800138975802584,0.001185201197095534,0.0005009877424342479,0.0013038261691131613,0.0011103486836840661,0.001693560004896307,0.0008889019769420626,0.0004298051377274974,0.005582464907244466
PERMITNE,0.007477311405411458,0.012242414391019061,0.009202421354607136,0.004607088470375342,0.029830285780839138,0.01253128117756336,0.020391181073200672,0.0019521718808822627,0.014885032386694556,0.010904767320799025,0.00812566511240063,0.013565161656642604,0.008083780666454033,0.002789519732961313,0.01500113623763684
