index,AMZN,WMT,NVDA,TSLA,PG,NKE,AAPL,JNJ,GOOGL,MSFT,PFE,BRK-A,FB,MRK,V
IPDCONGD,0.016479379372960328,0.007017679315924756,0.00789622226501555,0.00465409990609723,0.014238772461017317,0.017345386168796814,0.08792258119834596,0.10719904087980488,0.04204634062101481,0.06777642666972108,0.004658104707548765,0.011803481277204085,0.018697777541640793,0.016921488924547007,0.02312087591776001
VXOCLSx,0.01629381631857166,0.013556431332914147,0.0,0.003765492674460082,0.0186590161752584,0.047869014216603833,0.035639674585058734,0.019511091695252912,0.07098866863196121,0.05008769522125683,0.008036729938074638,0.032569844442779015,0.020749311136461022,0.001832122635574711,0.07267853757020667
AAAFFM,0.015912439722419205,0.000303778997297422,0.0014910667209791669,0.0011974147281921012,0.009757450474207894,0.001123186207701519,0.0033441216195607606,0.005866206439670821,0.008893412126181537,0.004944072004265776,0.001093813428525512,0.007187074122513937,0.0016615573049924652,0.013457384922859703,0.001144652470433378
HOUSTNE,0.015785800724808015,0.019462555260263702,0.006622241260816363,0.004821185613925412,0.0025115543642528397,0.04906755872988433,0.006457216339314164,0.008152664493632309,0.027776202953782397,0.006149548480485401,0.0006657661043016154,0.01544524026581728,0.010700096699362841,0.06539769660077545,0.06925871064783867
CES1021000001,0.01572047297748939,0.00585813350199385,0.05934507117548309,0.010001484680168177,4.894336895010721e-06,0.02566635057918064,0.00019855501246395212,6.0539520041950276e-05,0.004336771078449998,0.019547427621229924,0.0032924599454506633,0.011037494388696313,0.011314673478988858,0.0030376773510876268,0.003449828022388416
HOUST,0.0153329467353537,0.005532908420530426,0.010074396504623674,0.002217729780926101,0.015273159679734652,0.004508788062879225,0.0011363871914858627,0.002859332455158522,0.008554902730327458,0.002205385196251072,0.0004947064300331491,0.0029042549488551414,0.008524153337175279,0.003494628414312437,0.0029003066325994577
IPNCONGD,0.015319362356578466,0.0006417906514041788,0.005482085031995679,0.0014521967992696156,0.01088390562952881,0.001949838083147005,1.2586283214564553e-07,0.010590235017058422,0.002254596424647812,0.0052838694972569935,0.011495318267044074,0.00015974381021750792,0.0013227217691154324,0.034086790315395125,0.0019468724860812038
HOUSTW,0.014971804819648441,0.03618484759819444,0.006389707425539385,0.0016751449556312319,0.07571701751841599,0.002975035507530074,0.010292909678681277,0.07458283069102609,0.01574325009399967,0.03275386953567376,0.029862174447935135,0.003430795569507075,0.017032768666654846,0.019643247309104654,0.018643017540095997
UEMP15T26,0.014876631157034128,0.007005021030346828,0.038378920150886765,0.00788318307458467,0.0026041404211603275,0.028310903273635765,0.024421450703316333,0.026133236948333406,0.08411173638472748,0.020944398588133187,0.002256803678356626,0.026434749292831603,0.012600972787884914,0.0010759923115823632,0.06751561940715321
DTCTHFNM,0.014667018997600059,0.016446205627497927,0.0026068649823961544,0.0069983094312834615,0.03338753303233071,0.0036190999420671233,0.0038895884341201754,0.002793651277666792,0.002080670345385705,0.0030398704277925974,0.010843650012569853,0.015512193133679547,0.010980608601792464,0.008923211117578794,0.0033074341566268228
