Company,Date,mean,pos,neg,neu
TSLA,2019-06-01,-0.042815789,21,28,46
TSLA,2019-07-01,-0.064247423,15,26,56
TSLA,2019-08-01,-0.050444444,14,22,54
TSLA,2019-09-01,-0.043469811,18,27,61
TSLA,2019-10-01,-0.011577778,25,24,50
TSLA,2019-11-01,0.065557732,27,14,56
TSLA,2019-12-01,0.02955,22,16,56
TSLA,2020-01-01,-0.00090303,22,24,53
TSLA,2020-02-01,0.069116327,31,13,54
TSLA,2020-03-01,-0.041963265,17,34,47
TSLA,2020-04-01,-0.010518,21,23,56
TSLA,2020-05-01,0.011077895,23,21,51
TSLA,2020-06-01,0.056692857,25,15,58
TSLA,2020-07-01,0.102992929,34,12,53
TSLA,2020-08-01,0.039115306,22,14,62
TSLA,2020-09-01,0.048263265,22,11,65
V,2017-09-01,0.000156522,8,8,30
V,2017-10-01,0.145014583,17,1,30
V,2017-11-01,0.060822917,14,7,27
V,2017-12-01,-0.025691304,11,10,25
V,2018-01-01,0.142548889,17,3,25
V,2018-02-01,0.071708889,13,7,25
V,2018-03-01,0.085025,17,8,19
V,2018-04-01,-0.017680435,11,12,23
V,2018-05-01,-0.028091111,6,10,29
V,2018-06-01,-0.036471739,8,13,25
V,2018-07-01,0.022702222,10,10,25
V,2018-08-01,-0.030437778,14,16,15
V,2018-09-01,0.007173333,12,11,22
V,2018-10-01,-0.005997674,9,7,27
V,2018-11-01,0.06365641,10,5,24
V,2018-12-01,-0.0451475,10,12,18
V,2019-01-01,-0.049868293,8,11,22
V,2019-02-01,-0.154558696,9,18,19
V,2019-03-01,0.097538298,17,7,23
V,2019-04-01,0.013031818,11,10,23
V,2019-05-01,0.020281395,10,10,23
V,2019-06-01,-0.059770455,3,9,32
V,2019-07-01,-0.023275556,7,8,30
V,2019-08-01,-0.031295349,11,16,16
V,2019-09-01,0.097236585,14,3,24
V,2019-10-01,-0.040275,8,13,23
V,2019-11-01,0.039562791,11,7,25
V,2019-12-01,-0.04546,10,10,25
V,2020-01-01,0.012967391,10,8,28
V,2020-02-01,-0.093367391,5,15,26
V,2020-03-01,-0.045760526,5,10,23
V,2020-04-01,0.046995833,11,8,29
V,2020-05-01,-0.032386957,6,10,30
V,2020-06-01,-0.073333333,6,13,23
V,2020-07-01,-0.007712195,8,8,25
V,2020-08-01,0.038387805,9,7,25
V,2020-09-01,0.03208913,10,7,29
WMT,2017-09-01,0.054742857,8,3,31
WMT,2017-10-01,-0.067362222,14,23,53
WMT,2017-11-01,-0.089313953,13,26,47
WMT,2017-12-01,-0.036113684,22,26,47
WMT,2018-01-01,-0.03256087,17,24,51
WMT,2018-02-01,-0.027884091,17,21,50
WMT,2018-03-01,-0.115033673,12,33,53
WMT,2018-04-01,0.017449451,19,13,59
WMT,2018-05-01,0.017102222,20,15,55
WMT,2018-06-01,-0.086398958,15,28,53
WMT,2018-07-01,-0.033646237,12,20,61
WMT,2018-08-01,0.049113187,23,15,53
WMT,2018-09-01,-0.011458947,15,20,60
WMT,2018-10-01,0.020207692,22,16,53
WMT,2018-11-01,-0.008877895,17,20,58
WMT,2018-12-01,-0.012509677,22,19,52
WMT,2019-01-01,-0.021078495,16,25,52
WMT,2019-02-01,0.028047917,24,20,52
WMT,2019-03-01,0.022644944,18,14,57
WMT,2019-04-01,0.069863736,22,11,58
WMT,2019-05-01,0.066728736,23,14,50
WMT,2019-06-01,-0.034319792,18,23,55
WMT,2019-07-01,-0.096426316,14,30,51
WMT,2019-08-01,-0.257805376,11,54,28
WMT,2019-09-01,-0.004628125,18,21,57
